,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
252,200.0,300.0,1.0,0.05,14.0,0.01,56642.0,131.52668894,56642.0,2360.0833333333335
253,200.0,300.0,1.0,0.05,14.0,0.05,11329.0,26.30673103,11329.0,472.0416666666667
254,200.0,300.0,1.0,0.05,14.0,0.1,5665.0,13.15452655,5665.0,236.04166666666666
255,200.0,300.0,1.0,0.1,10.0,0.01,7306.0,16.96504342,7306.0,304.4166666666667
256,200.0,300.0,1.0,0.1,10.0,0.05,1462.0,3.39486634,1462.0,60.916666666666664
257,200.0,300.0,1.0,0.1,10.0,0.1,731.0,1.69743317,731.0,30.458333333333332
258,200.0,300.0,1.0,0.1,11.0,0.01,8979.0,20.84986653,8979.0,374.125
259,200.0,300.0,1.0,0.1,11.0,0.05,1796.0,4.17043772,1796.0,74.83333333333333
260,200.0,300.0,1.0,0.1,11.0,0.1,898.0,2.08521886,898.0,37.416666666666664
261,200.0,300.0,1.0,0.1,12.0,0.01,11647.0,27.04514929,11647.0,485.2916666666667
262,200.0,300.0,1.0,0.1,12.0,0.05,2330.0,5.4104231,2330.0,97.08333333333333
263,200.0,300.0,1.0,0.1,12.0,0.1,1165.0,2.70521155,1165.0,48.541666666666664
264,200.0,300.0,1.0,0.1,13.0,0.01,16557.0,38.44651299,16557.0,689.875
265,200.0,300.0,1.0,0.1,13.0,0.05,3312.0,7.69069584,3312.0,138.0
266,200.0,300.0,1.0,0.1,13.0,0.1,1656.0,3.84534792,1656.0,69.0
267,200.0,300.0,1.0,0.1,14.0,0.01,28321.0,65.76334447,28321.0,1180.0416666666667
268,200.0,300.0,1.0,0.1,14.0,0.05,5665.0,13.15452655,5665.0,236.04166666666666
269,200.0,300.0,1.0,0.1,14.0,0.1,2833.0,6.57842431,2833.0,118.04166666666667
270,300.0,100.0,1.0,0.01,10.0,0.01,89433.0,207.66968631,89433.0,3726.375
271,300.0,100.0,1.0,0.01,10.0,0.05,17887.0,41.53486609,17887.0,745.2916666666666
272,300.0,100.0,1.0,0.01,10.0,0.1,8944.0,20.76859408,8944.0,372.6666666666667
273,300.0,100.0,1.0,0.01,11.0,0.01,109916.0,255.23264612,109916.0,4579.833333333333
274,300.0,100.0,1.0,0.01,11.0,0.05,21984.0,51.04838688,21984.0,916.0
275,300.0,100.0,1.0,0.01,11.0,0.1,10992.0,25.52419344,10992.0,458.0
276,300.0,100.0,1.0,0.01,12.0,0.01,142565.0,331.04590955,142565.0,5940.208333333333
277,300.0,100.0,1.0,0.01,12.0,0.05,28513.0,66.20918191,28513.0,1188.0416666666667
278,300.0,100.0,1.0,0.01,12.0,0.1,14257.0,33.10575199,14257.0,594.0416666666666
279,300.0,100.0,1.0,0.01,13.0,0.01,202675.0,470.62553725,202675.0,8444.791666666666
280,300.0,100.0,1.0,0.01,13.0,0.05,40535.0,94.12510745,40535.0,1688.9583333333333
281,300.0,100.0,1.0,0.01,13.0,0.1,20268.0,47.06371476,20268.0,844.5
282,300.0,100.0,1.0,0.01,14.0,0.01,346689.0,805.03612623,346689.0,14445.375
